year,Joshuas
1910,5
1911,12
1912,17
1913,54
1914,55
1915,87
1916,54
1917,90
1918,89
1919,97
1920,92
1921,91
1922,75
1923,97
1924,75
1925,70
1926,60
1927,81
1928,73
1929,33
1930,54
1931,57
1932,74
1933,53
1934,73
1935,53
1936,62
1937,59
1938,34
1939,61
1940,61
1941,53
1942,78
1943,69
1944,72
1945,62
1946,71
1947,110
1948,90
1949,146
1950,114
1951,126
1952,141
1953,130
1954,144
1955,197
1956,200
1957,222
1958,226
1959,271
1960,260
1961,313
1962,274
1963,320
1964,335
1965,429
1966,448
1967,527
1968,691
1969,1293
1970,2173
1971,3649
1972,5038
1973,8079
1974,11612
1975,14594
1976,16901
1977,22125
1978,25298
1979,31281
1980,36214
1981,39248
1982,38203
1983,36891
1984,40490
1985,42413
1986,37782
1987,40220
1988,42901
1989,44251
1990,43334
1991,41306
1992,36292
1993,33647
1994,31411
1995,30748
1996,29210
1997,28295
1998,28113
1999,27275
2000,27552
2001,26036
2002,26012
2003,25109
2004,24297
2005,23265
2006,22326
2007,20664
2008,19219
2009,17655
2010,15448
2011,13779
2012,12665
2013,11845
2014,10917
2015,9815
2016,9213
2017,8318
2018,7403
2019,6588
2020,5924